tmin,tmax,tmid,flux,flux_err,flux_ul95,ts,success
662688000.0,665280000.0,663984000.0,3.6106738358036874e-07,2.2580348425764882e-08,3.936258736091279e-07,908.6917708959663,True
665280000.0,667872000.0,666576000.0,3.4309663663184255e-07,2.9112030523694414e-08,3.798965382305771e-07,648.2918008813795,True
667872000.0,670464000.0,669168000.0,4.068294641206332e-07,2.8299115457643366e-08,4.478028702912923e-07,696.0914015875314,True
670464000.0,673056000.0,671760000.0,1.8915986871984082e-07,2.2381786649862043e-08,2.1943374897057378e-07,235.60105730088253,True
673056000.0,675648000.0,674352000.0,3.011189665979545e-07,2.3833085957249956e-08,3.3629645045722076e-07,467.16157450617175,True
675648000.0,678240000.0,676944000.0,3.9954494554367004e-07,2.2530311288223376e-08,4.3209086516997825e-07,1080.6237462113786,True
678240000.0,680832000.0,679536000.0,5.05113582710236e-07,3.013119956189266e-08,5.479361701507869e-07,1002.6158565167716,True
680832000.0,683424000.0,682128000.0,4.806339146669221e-07,2.963205809119961e-08,5.222843393907138e-07,1012.514279716459,True
683424000.0,686016000.0,684720000.0,1.3580971098123342e-06,4.6290127333186746e-08,1.4241086226841574e-06,4328.2352089019405,True
686016000.0,688608000.0,687312000.0,2.0593056863787046e-06,5.6990485649037714e-08,2.144369863811594e-06,7039.731651184018,True
688608000.0,691200000.0,689904000.0,1.2440247962932555e-06,3.7965320151989354e-08,1.2990154964587563e-06,5034.9077698157635,True
691200000.0,693792000.0,692496000.0,1.1378163268460826e-06,3.639305551264259e-08,1.1916300074721724e-06,4278.05991623603,True
693792000.0,696384000.0,695088000.0,8.458220718768265e-07,2.9497916886374117e-08,8.898846240437848e-07,3207.8818850070384,True
696384000.0,698198572.088512,697291286.044256,8.082233451468123e-07,4.2151970605750315e-08,8.690755630469929e-07,1634.9844940154144,True
